,Date de publication,Intitulé du poste,Compétences,Lieu,Salaire minimum,Salaire maximum,Type de contrat,Nom de la société,Poste,Poste_class,Niveau
137,2022-12-22,Développeur Big Data / Python (H/F),"python, maintenance, support, sécurité, big data",île-de-france,,,CDI,engie,Big Data,Data,Développeur
138,2023-01-08,Alternance - Assistant marketing private market-(H/F),"marketing, si, support, data management, réseau",colombes,,,CDI,societe generale,Marketing,Business,Stage/Alternance/Apprenti
139,2023-01-14,Architecte Poste de Travail H/F,"poste de travail, microsoft, support, cloud, infrastructure",paris,50000.0,70000.0,CDI,uniware global services,Chef de projets,Support,Architecte
140,2023-01-12,Ingénieur de production Cloud H/F,"cloud, securité, devops, sécurité, si",paris,50000.0,60000.0,CDI,uniware global services,Ingenieurie cloud,Net,Ingénieur
141,2023-01-12,Ingénieur Réseaux et Sécurité H/F,"réseau, sécurité, securité, infrastructure, wan",paris,38000.0,55000.0,CDI,uniware global services,Cyber,Net,Ingénieur
142,2022-12-16,Ingénieur QA H/F,"digital, devops, web, android, open source",paris,,,CDI,kisio,Responsable qualité,Support,Ingénieur
143,2023-01-01,Stage Ingénieur développement d'algorithmes d'analyse de données de vol H/F,"electronique, outils, validation, data management",île-de-france,,,Stage,safran,Data analyst,Data,Ingénieur
144,2023-01-12,Ingénieurs de Production Unix/Linux/Windows H/F,"linux, unix, windows, hp, infrastructure",paris,38000.0,55000.0,CDI,uniware global services,Developpement logiciel,Génie informatique,Ingénieur
145,2022-12-19,Networking Cloud Support Engineer AWS,"support, cloud, network, linux, windows",courbevoie,,,CDI,amazon,Ingenieurie cloud,Net,Ingénieur
146,2023-01-12,Ingénieur Systèmes Linux / DevOps H/F,"linux, devops, infrastructure, mongodb, apache",paris,,,CDI,uniware global services,Developpement logiciel,Génie informatique,Ingénieur
147,2022-12-26,Ingénieur DevOps H/F,"devops, outils, linux, infrastructure, jenkins",paris,40000.0,60000.0,CDI,uniware global services,Developpement agile,Génie informatique,Ingénieur
148,2022-12-16,Alternance - Bigdata DataScience - H/F,"réseau, si, infrastructure, réseau, big data",palaiseau,,,Contrat de professionnalisation,edf france,Data scientist,Data,Stage/Alternance/Apprenti
149,2023-01-14,Ingénieur de production Cloud H/F,"cloud, devops, sécurité, securité, sql server",neuilly-sur-seine,45000.0,60000.0,CDI,uniware global services,Ingenieurie cloud,Net,Ingénieur
150,2022-12-25,Ingénieur/développeur en IA,"intelligence artificielle, outils, réseau, machine learning, big data",paris,,,CDI,iliad-free,Developpement logiciel,Génie informatique,Ingénieur
151,2022-12-19,Consultant(e) Web Analyst H/F,"digital, web, outils, javascript, recette",paris,,,CDI,business&decision,Developpement web,Génie informatique,Expert
152,2022-12-26,Chef de projet CRM H/F,"crm, web, marketing, design, pack office",seine-saint-denis,,,CDI,printemps,Chef de projets,Support,Managment
153,2022-12-25,Développeur Java / J2ee (H/F) – Paris (75),"java, j2ee, web, jboss, sécurité",paris,45000.0,65000.0,CDI,synchrone,Developpement web,Génie informatique,Développeur
154,2022-12-29,Stage - Ingénierie Linguistique : détection de similarité sémantique - H/F,"outils, python, langage, si, git",palaiseau,,,Stage,edf france,Other,Other,Stage/Alternance/Apprenti
155,2023-01-06,Développeur cloud interne d'Orange France,"cloud, si, iaas, windows, saas",île-de-france,,,CDI,orange,Ingenieurie cloud,Net,Développeur
156,2023-01-14,Ingénieur Cloud Azure H/F,"cloud, web, devops, python, infrastructure",neuilly-sur-seine,40000.0,60000.0,CDI,uniware global services,Ingenieurie cloud,Net,Ingénieur
157,2022-12-16,CDI Chef de projet BI H/F,"outils, decisionnel, support, business objects, business intelligence",paris,,,CDI,tf1,Business intelligence,Business,Managment
158,2022-12-25,Développeur Angular (H/F) – Paris (75),"angularjs, agile, web, framework, outils",paris,30000.0,50000.0,CDI,synchrone,Developpement web,Génie informatique,Développeur
159,2023-01-14,Assistant chef de projet Social Media (paris sportifs) H/F,"réseau sociaux, réseau, outils, acquisition, jquery",boulogne-billancourt,,,Stage,francaise des jeux,Other,Other,Managment
160,2022-12-30,Alternance - Ingénieur Etude et Développement-(H/F),"si, java, support, angularjs, outils",fontenay-sous-bois,,,CDI,societe generale,Developpement logiciel,Génie informatique,Ingénieur
161,2022-12-16,Développeur iOS H/F,"digital, ios, android, swift, web",paris,,,CDI,kisio,Developpement application,Génie informatique,Développeur
162,2022-12-16,Développeur Backend C++/Python H/F,"digital, c++, devops, python, web",paris,,,CDI,kisio,Developpement backend,Génie informatique,Développeur
163,2023-01-14,Expert Middleware H/F,"middleware, weblogic, unix, support, tomcat",paris,40000.0,60000.0,CDI,uniware global services,Middleware,Net,Expert
164,2022-12-22,Expert Protection des Données Personnelles et Digitales H/F,"si, sécurité, data management, securité, réseau",île-de-france,,,CDI,grtgaz,DPO,Data,Expert
165,2022-12-19,Consultant(e) confirmé SAS / BI H/F,"sas, digital, dataiku",paris,,,CDI,business&decision,Business intelligence,Business,Expert
166,2022-12-29,Stage - Data Engineer H/F,"support, python, sql, hadoop, big data",île-de-france,,,Stage,safran,Data ingenier,Data,Ingénieur
167,2023-01-08,Stage : Modélisation de bus numériques dans l'outil PLM 3DExperience,"plm, outils, système, cloud, communication",île-de-france,,,Stage,dassault aviation,Other,Other,Stage/Alternance/Apprenti
168,2022-12-16,Architecte Technique Senior - SQUADEASY,"outils, swift, android, si, unix",paris,,,CDI,paris&co,Chef de projets,Support,Architecte
169,2022-12-21,IS Analyst Customer Service (Danone IS/IT for Sales applications),"support, sap, cloud, agile, middleware",saint-ouen,,,CDI,danone,Business analyst,Business,Analyst
170,2022-12-18,Stage Marketing/Statistique sur le pricing de nos produits- H/F,"marketing, iaas, paas, saas",paris,,,Stage,cegid,Marketing,Business,Stage/Alternance/Apprenti
171,2023-01-05,TECHNICAL LEADER SENIOR HADOOP / BIG DATA-(H/F),"hadoop, agile, maintenance, scala, système",fontenay-sous-bois,,,CDI,societe generale,Big Data,Data,Technicien
